PID,Số tiền trung bình bạn trả cho một lần mua hàng:,Giới tính của bạn,Độ tuổi của bạn,Tình trạng hôn nhân của bạn,Số thành viên là con cái trong gia đình của bạn,Ngành nghề của bạn:,Mức thu nhập tháng của bạn nằm trong khoảng,Products
PID001,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID001,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID001,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID001,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID002,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,1 con,Nhân viên hành chính,5-10 triệu,Trái cây
PID002,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,1 con,Nhân viên hành chính,5-10 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID002,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,1 con,Nhân viên hành chính,5-10 triệu, Bánh kẹo
PID002,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,1 con,Nhân viên hành chính,5-10 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID002,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,1 con,Nhân viên hành chính,5-10 triệu," Thời trang may mặc (quần áo, giày dép)"
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Rau củ
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Thuỷ hải sản tươi
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Thực phẩm đông lạnh
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID003,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu,Rau củ
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu, Trái cây
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
